dataset,format,bpw,mse,psnr,encode_us,decode_us,encode_std,decode_std
real,Q8,8,1.9563e-06,57.0857,26112.6,203.9,955.31,14.7051
real,Q8_K_L,8,1.9563e-06,57.0857,29647.8,201,1462.72,4.21816
real,Q8_K_M,8,1.9563e-06,57.0857,27418.8,219.3,2435.99,45.6601
real,Q8_K_H,8,1.9563e-06,57.0857,26537.3,206.7,2040.67,17.9838
real,QG_6_K_L,6.5625,1.38048e-05,48.5997,3174.2,108.6,521.722,8.82378
real,QG6,6.5625,1.38048e-05,48.5997,3719.8,113.4,538.806,56.7266
real,QG_6_K_M,6.5625,1.38048e-05,48.5997,3275.8,109.2,633.098,65.6862
real,QG_6_K_H,6.5625,1.38048e-05,48.5997,3864.3,106.8,605.315,58.0998
real,[ref] GGUF Q6_K,6.5625,2.44204e-05,46.1225,258.5,258.5,0,0
real,QG_6.5,6.5,1.73863e-05,47.5979,12363.7,384.7,742.8,42.2417
real,Q6.5,6.5,1.73863e-05,47.5979,9830.3,199.7,679.323,7.23151
real,QG_MX_6.5,6.5,0.000284417,35.4604,9181.5,708,760.367,8.48601
real,Q_MX_6.5,6.5,0.000374169,34.2693,6453.2,804.7,559.264,208.181
real,Q6,6,0.000142575,38.4596,5179,328.2,657.381,63.4155
real,Q6_K_L,6,0.000142575,38.4596,5601.8,315.4,583.125,107.738
real,Q6_K_M,6,0.000142575,38.4596,5048.8,314.9,619.741,107.142
real,Q6_K_H,6,0.000142575,38.4596,5868.3,317.6,873.745,137.735
real,QG_4.5,4.5,0.00024328,36.1389,8860.8,237.5,1371.72,486.391
real,QG4,4.5,0.00024328,36.1389,8302.6,233.7,544.555,77.182
real,Q4.5,4.5,0.00024328,36.1389,8750.9,224.1,641.376,74.0589
real,QG_MX_4.5,4.5,0.00264114,25.7821,5163.7,973.5,650.712,185.281
real,Q_MX_4.5,4.5,0.0027967,25.5335,4646.2,726.6,634.462,206.789
real,[ref] GGUF Q4_K,4.5,0.0146823,18.3321,587.4,587.4,0,0
real,QG_4_K_H,4.4375,0.000304736,35.1608,40712.9,182.6,1872.38,13.4897
real,QG_4_K_M,4.4375,0.000304736,35.1608,42055.7,186.4,3124.54,258.046
real,QG_4_K_L,4.4375,0.000304736,35.1608,39026,181.3,1712.5,13.1495
real,Q4,4,0.000632377,31.9902,6449.7,203.8,358.531,42.4679
real,Q4_K_H,4,0.000632377,31.9902,6453.7,207.6,1022.92,10.8219
real,Q4_K_L,4,0.000632377,31.9902,6560.9,203.5,429.308,4.16808
real,Q4_K_M,4,0.000632377,31.9902,6522.3,201.1,493.082,7.04766
real,QG_MX_3.5,3.78125,0.013082,18.8332,3687.3,949.4,355.102,277.396
real,QG_3.5,3.5,0.000899741,30.4588,9615.1,318.3,921.716,85.8996
real,QG3,3.5,0.000899741,30.4588,9268.7,220.9,860.043,83.9351
real,Q3.5,3.5,0.000899741,30.4588,9027.6,397.9,534.806,113.686
real,Q_MX_3.5,3.5,0.011536,19.3794,3088.5,648,515.301,204.295
real,QG_3_K_M,3.4375,0.000868864,30.6105,10105,201.6,996.903,5.83507
real,QG_3_K_L,3.4375,0.000868864,30.6105,9373.6,197,699.748,92.2183
